                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1103,                 3.9704,                 1.4017,                 0.0243,                0.13477,                0.05842,                0.04139,                0.97282,                 3.9473,                 1.3042,                 0.0001,                 0.0001,                 0.0001
                      2,                0.98488,                 3.0234,                 1.2809,                0.04069,                0.60377,                0.21667,                0.14139,                 1.2322,                 3.5093,                 1.5256,             0.00020094,             0.00020094,             0.00020094
                      3,                0.95568,                 2.1944,                 1.2674,                0.66992,                0.11921,                 0.3217,                0.20633,                 1.2041,                 3.0025,                 1.5354,             0.00029772,             0.00029772,             0.00029772
                      4,                0.91827,                 1.6742,                 1.2416,                 0.7749,                0.21574,                0.40582,                0.26999,                 1.1988,                 2.8128,                 1.4893,             0.00039035,             0.00039035,             0.00039035
                      5,                0.87823,                 1.4471,                 1.2112,                0.55349,                0.31555,                0.36008,                 0.2445,                 1.2333,                 2.6248,                 1.5311,              0.0004604,              0.0004604,              0.0004604
                      6,                0.83576,                 1.2707,                 1.1674,                 0.6008,                0.24582,                0.35308,                0.22992,                 1.2761,                 2.7599,                 1.5214,              0.0004505,              0.0004505,              0.0004505
                      7,                0.79832,                 1.1479,                 1.1412,                0.65878,                0.46664,                0.53772,                0.36328,                 1.1344,                 2.0022,                 1.4218,              0.0004406,              0.0004406,              0.0004406
                      8,                0.78124,                 1.0963,                  1.128,                0.59166,                0.49623,                0.53273,                0.35781,                 1.1591,                 1.9232,                 1.5083,              0.0004307,              0.0004307,              0.0004307
                      9,                 0.7592,                 1.0429,                 1.1074,                0.62506,                 0.5724,                 0.5883,                0.39443,                 1.1671,                 1.6528,                 1.5179,              0.0004208,              0.0004208,              0.0004208
                     10,                0.74037,                0.97398,                 1.0976,                0.62966,                0.53399,                0.57706,                0.39051,                 1.1408,                 1.7147,                 1.4452,              0.0004109,              0.0004109,              0.0004109
                     11,                0.72532,                0.92777,                 1.0773,                0.62831,                0.59939,                0.59781,                 0.4081,                  1.127,                 1.5326,                 1.4219,               0.000401,               0.000401,               0.000401
                     12,                0.70796,                0.89491,                 1.0665,                0.66819,                0.64508,                0.66218,                0.45737,                 1.0595,                 1.3604,                 1.3594,              0.0003911,              0.0003911,              0.0003911
                     13,                0.69443,                0.87549,                 1.0627,                0.63597,                0.65995,                0.65189,                0.45088,                 1.1034,                 1.4659,                 1.4215,              0.0003812,              0.0003812,              0.0003812
                     14,                0.68413,                0.84945,                 1.0548,                0.65366,                 0.6641,                 0.6751,                0.45494,                 1.1187,                 1.3018,                 1.3886,              0.0003713,              0.0003713,              0.0003713
                     15,                0.67798,                0.81945,                 1.0467,                0.67243,                0.52086,                 0.5614,                0.38814,                 1.1525,                 1.8781,                 1.4556,              0.0003614,              0.0003614,              0.0003614
                     16,                0.65618,                0.79829,                 1.0378,                  0.699,                0.62593,                0.66844,                0.46767,                 1.0991,                 1.2157,                 1.4356,              0.0003515,              0.0003515,              0.0003515
                     17,                 0.6451,                0.77683,                 1.0286,                 0.6672,                0.59967,                 0.6412,                0.44072,                 1.0951,                 1.4878,                  1.398,              0.0003416,              0.0003416,              0.0003416
                     18,                0.63519,                0.74933,                 1.0188,                0.68782,                0.66537,                0.69082,                0.48598,                 1.0465,                  1.374,                 1.3909,              0.0003317,              0.0003317,              0.0003317
                     19,                 0.6292,                0.73883,                 1.0223,                0.69611,                0.65036,                0.69563,                0.47638,                 1.0704,                 1.3091,                  1.372,              0.0003218,              0.0003218,              0.0003218
                     20,                0.61893,                0.71887,                 1.0092,                0.71773,                0.65404,                0.68757,                0.46796,                 1.1346,                 1.3231,                 1.4352,              0.0003119,              0.0003119,              0.0003119
                     21,                0.61283,                0.70993,                 1.0081,                0.73577,                0.68499,                0.71665,                 0.5022,                 1.0515,                 1.2181,                 1.3851,               0.000302,               0.000302,               0.000302
                     22,                0.60722,                0.68488,                 1.0062,                0.70775,                0.67762,                0.69491,                0.48216,                 1.0396,                  1.242,                 1.3731,              0.0002921,              0.0002921,              0.0002921
                     23,                0.60149,                0.67638,                 1.0049,                 0.7255,                0.62041,                0.68048,                0.47624,                  1.053,                 1.3459,                 1.3974,              0.0002822,              0.0002822,              0.0002822
                     24,                0.58535,                0.64462,                0.98596,                 0.6755,                0.65284,                 0.6694,                0.47074,                 1.0708,                 1.2419,                 1.4046,              0.0002723,              0.0002723,              0.0002723
                     25,                0.57579,                0.63597,                0.98506,                 0.7429,                0.58194,                0.64958,                 0.4635,                 1.0717,                 1.3674,                 1.4159,              0.0002624,              0.0002624,              0.0002624
                     26,                0.57546,                0.64001,                0.99031,                0.72954,                0.62473,                0.67874,                0.48173,                 1.0636,                 1.4198,                 1.4085,              0.0002525,              0.0002525,              0.0002525
                     27,                0.56923,                0.62958,                0.98767,                0.65852,                0.66875,                0.69141,                 0.4896,                 1.0599,                 1.2663,                 1.3907,              0.0002426,              0.0002426,              0.0002426
                     28,                0.56279,                 0.6203,                0.98297,                0.75236,                0.65976,                0.71474,                0.50995,                 1.0543,                 1.2469,                  1.387,              0.0002327,              0.0002327,              0.0002327
                     29,                0.55464,                 0.5947,                0.97627,                 0.7631,                0.60478,                0.69154,                0.48249,                 1.0695,                 1.1861,                 1.4091,              0.0002228,              0.0002228,              0.0002228
                     30,                0.54784,                0.59145,                0.97006,                0.69663,                0.67712,                0.69941,                 0.4979,                 1.0545,                 1.2365,                 1.3921,              0.0002129,              0.0002129,              0.0002129
                     31,                0.54344,                0.58491,                0.97057,                0.72802,                0.65351,                0.69232,                0.49338,                 1.0489,                 1.2677,                 1.4001,               0.000203,               0.000203,               0.000203
                     32,                0.54617,                0.58496,                0.97264,                0.72137,                0.66144,                0.70448,                 0.5032,                 1.0537,                 1.2236,                 1.3841,              0.0001931,              0.0001931,              0.0001931
                     33,                 0.5353,                 0.5738,                0.96835,                0.68505,                0.71398,                0.71983,                0.51633,                 1.0482,                 1.1564,                 1.3928,              0.0001832,              0.0001832,              0.0001832
                     34,                0.53414,                0.56434,                0.96645,                0.72253,                 0.6249,                0.68498,                0.49469,                 1.0384,                 1.3273,                 1.3743,              0.0001733,              0.0001733,              0.0001733
                     35,                 0.5265,                0.54855,                0.96222,                0.71366,                0.66211,                0.69075,                0.49799,                 1.0317,                   1.24,                 1.3611,              0.0001634,              0.0001634,              0.0001634
                     36,                0.52746,                0.54948,                0.96209,                0.70793,                 0.6722,                0.69653,                0.49784,                 1.0637,                 1.2425,                 1.3952,              0.0001535,              0.0001535,              0.0001535
                     37,                0.51175,                0.54198,                0.95705,                 0.7733,                0.64428,                0.71272,                0.51243,                  1.035,                 1.1455,                  1.394,              0.0001436,              0.0001436,              0.0001436
                     38,                0.51865,                0.53934,                0.95957,                0.71704,                0.67811,                0.71483,                0.51712,                 1.0305,                 1.1538,                 1.3837,              0.0001337,              0.0001337,              0.0001337
                     39,                0.50636,                0.52936,                0.95248,                0.75208,                0.65099,                0.71453,                0.51065,                  1.038,                  1.222,                 1.4043,              0.0001238,              0.0001238,              0.0001238
                     40,                 0.5019,                0.52072,                0.95278,                0.75226,                0.66856,                 0.7197,                0.51979,                 1.0251,                 1.2093,                 1.4007,              0.0001139,              0.0001139,              0.0001139
                     41,                0.48921,                0.56281,                0.94789,                0.70893,                0.69153,                0.71342,                0.50494,                 1.0525,                 1.2651,                 1.4078,               0.000104,               0.000104,               0.000104
                     42,                0.44762,                0.48583,                0.92586,                0.75869,                0.67776,                0.72687,                0.52357,                 1.0288,                 1.1966,                 1.3703,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                0.44008,                 0.4688,                0.92056,                0.77047,                0.66435,                0.72466,                0.52757,                 1.0139,                 1.2138,                 1.3899,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                0.43776,                0.45768,                0.91933,                0.73907,                0.67756,                0.71785,                0.52022,                  1.003,                 1.1555,                 1.3706,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                0.42615,                0.44816,                0.91059,                0.73838,                0.69508,                0.72062,                0.52091,                 1.0239,                 1.1808,                 1.3982,               6.44e-05,               6.44e-05,               6.44e-05
